"word","sentiment"
"amen","joy"
"generous","joy"
"perfect","joy"
"perfect","joy"
"entertain","joy"
"perfect","joy"
"perfect","joy"
"clean","joy"
"enjoy","joy"
"garden","joy"
"safe","joy"
"bonus","joy"
"love","joy"
"fun","joy"
"pay","joy"
"perfect","joy"
"entertain","joy"
"perfect","joy"
"entertain","joy"
"bonus","joy"
"beam","joy"
"gorgeous","joy"
"bonus","joy"
"perfect","joy"
"success","joy"
"save","joy"
"deal","joy"
"success","joy"
"save","joy"
"deal","joy"
"amen","joy"
"generous","joy"
"perfect","joy"
"perfect","joy"
"entertain","joy"
"perfect","joy"
"perfect","joy"
"clean","joy"
"perfect","joy"
"entertain","joy"
"clean","joy"
"clean","joy"
"amen","joy"
"success","joy"
"save","joy"
"deal","joy"
"saint","joy"
"saint","joy"
"success","joy"
"save","joy"
"deal","joy"
"special","joy"
"found","joy"
"save","joy"
"success","joy"
"save","joy"
"deal","joy"
"success","joy"
"save","joy"
"deal","joy"
"success","joy"
"save","joy"
"deal","joy"
"success","joy"
"save","joy"
"deal","joy"
"success","joy"
"save","joy"
"deal","joy"
"bonus","joy"
"success","joy"
"save","joy"
"deal","joy"
"success","joy"
"save","joy"
"deal","joy"
"gorgeous","joy"
"success","joy"
"save","joy"
"deal","joy"
